nodesize,mtry,ntree,replace
1,1,200,TRUE
2,1,200,TRUE
4,1,200,TRUE
8,1,200,TRUE
1,2,200,TRUE
2,2,200,TRUE
4,2,200,TRUE
8,2,200,TRUE
1,3,200,TRUE
2,3,200,TRUE
4,3,200,TRUE
8,3,200,TRUE
1,4,200,TRUE
2,4,200,TRUE
4,4,200,TRUE
8,4,200,TRUE
1,1,400,TRUE
2,1,400,TRUE
4,1,400,TRUE
8,1,400,TRUE
1,2,400,TRUE
2,2,400,TRUE
4,2,400,TRUE
8,2,400,TRUE
1,3,400,TRUE
2,3,400,TRUE
4,3,400,TRUE
8,3,400,TRUE
1,4,400,TRUE
2,4,400,TRUE
4,4,400,TRUE
8,4,400,TRUE
1,1,600,TRUE
2,1,600,TRUE
4,1,600,TRUE
8,1,600,TRUE
1,2,600,TRUE
2,2,600,TRUE
4,2,600,TRUE
8,2,600,TRUE
1,3,600,TRUE
2,3,600,TRUE
4,3,600,TRUE
8,3,600,TRUE
1,4,600,TRUE
2,4,600,TRUE
4,4,600,TRUE
8,4,600,TRUE
1,1,800,TRUE
2,1,800,TRUE
4,1,800,TRUE
8,1,800,TRUE
1,2,800,TRUE
2,2,800,TRUE
4,2,800,TRUE
8,2,800,TRUE
1,3,800,TRUE
2,3,800,TRUE
4,3,800,TRUE
8,3,800,TRUE
1,4,800,TRUE
2,4,800,TRUE
4,4,800,TRUE
8,4,800,TRUE
1,1,1000,TRUE
2,1,1000,TRUE
4,1,1000,TRUE
8,1,1000,TRUE
1,2,1000,TRUE
2,2,1000,TRUE
4,2,1000,TRUE
8,2,1000,TRUE
1,3,1000,TRUE
2,3,1000,TRUE
4,3,1000,TRUE
8,3,1000,TRUE
1,4,1000,TRUE
2,4,1000,TRUE
4,4,1000,TRUE
8,4,1000,TRUE
1,1,1200,TRUE
2,1,1200,TRUE
4,1,1200,TRUE
8,1,1200,TRUE
1,2,1200,TRUE
2,2,1200,TRUE
4,2,1200,TRUE
8,2,1200,TRUE
1,3,1200,TRUE
2,3,1200,TRUE
4,3,1200,TRUE
8,3,1200,TRUE
1,4,1200,TRUE
2,4,1200,TRUE
4,4,1200,TRUE
8,4,1200,TRUE
1,1,1400,TRUE
2,1,1400,TRUE
4,1,1400,TRUE
8,1,1400,TRUE
1,2,1400,TRUE
2,2,1400,TRUE
4,2,1400,TRUE
8,2,1400,TRUE
1,3,1400,TRUE
2,3,1400,TRUE
4,3,1400,TRUE
8,3,1400,TRUE
1,4,1400,TRUE
2,4,1400,TRUE
4,4,1400,TRUE
8,4,1400,TRUE
1,1,1600,TRUE
2,1,1600,TRUE
4,1,1600,TRUE
8,1,1600,TRUE
1,2,1600,TRUE
2,2,1600,TRUE
4,2,1600,TRUE
8,2,1600,TRUE
1,3,1600,TRUE
2,3,1600,TRUE
4,3,1600,TRUE
8,3,1600,TRUE
1,4,1600,TRUE
2,4,1600,TRUE
4,4,1600,TRUE
8,4,1600,TRUE
1,1,1800,TRUE
2,1,1800,TRUE
4,1,1800,TRUE
8,1,1800,TRUE
1,2,1800,TRUE
2,2,1800,TRUE
4,2,1800,TRUE
8,2,1800,TRUE
1,3,1800,TRUE
2,3,1800,TRUE
4,3,1800,TRUE
8,3,1800,TRUE
1,4,1800,TRUE
2,4,1800,TRUE
4,4,1800,TRUE
8,4,1800,TRUE
1,1,2000,TRUE
2,1,2000,TRUE
4,1,2000,TRUE
8,1,2000,TRUE
1,2,2000,TRUE
2,2,2000,TRUE
4,2,2000,TRUE
8,2,2000,TRUE
1,3,2000,TRUE
2,3,2000,TRUE
