"Variable","s_h_h_coef","s_h_h_conf_lower","s_h_h_conf_upper","s_h_f_coef","s_h_f_conf_lower","s_h_f_conf_upper","s_hf_h_coef","s_hf_h_conf_lower","s_hf_h_conf_upper","s_hf_f_coef","s_hf_f_conf_lower","s_hf_f_conf_upper"
"(Intercept)",5.54839896642757,5.48145878246743,5.61533915038771,21.4788776492675,21.1981226817775,21.7596326167575,6.04989945342073,5.77734788680635,6.32245102003511,15.1913175413714,14.3719921296804,16.0106429530624
"agegroup25-39",0.0494139340653861,-0.0117491472017513,0.110577015332523,-0.305040823736509,-0.561565946269316,-0.0485157012037022,0.127255013252285,-0.115465236514063,0.369975263018634,-0.999605645267995,-1.72925424364468,-0.269957046891306
"agegroup40-64",0.327827534817494,0.268630639957773,0.387024429677215,0.0547637000768011,-0.193515006503186,0.303042406656788,0.185941609730044,-0.0493709188209545,0.421254138281043,-2.02412891409088,-2.73150894028561,-1.31674888789615
"agegroup64+",0.375795747221769,0.285171668613068,0.466419825830469,-0.84051629242027,-1.22060428648296,-0.460428298357577,0.259186033625684,-0.136432636996699,0.654804704248066,-2.6399718011027,-3.82925291295532,-1.45069068925007
"sexF",0.126061368463827,0.0906623468257021,0.161460390101951,0.306669123656526,0.158201483126774,0.455136764186278,-1.13275925627694,-1.28111627059649,-0.984402241957382,0.916245404427458,0.47026494889556,1.36222585995936
"raceAsian",0.191514847797512,0.123954834093041,0.259074861501982,3.10683156463856,2.82347695864409,3.39018617063303,-0.688483919848758,-0.956298317403504,-0.420669522294011,-0.0655218348594132,-0.87060670103365,0.739563031314823
"raceBlack",0.177074745774631,0.136675077485408,0.217474414063855,1.39317137810664,1.22373044015072,1.56261231606255,-0.721605274969827,-0.888502290265149,-0.554708259674505,-0.879907018753818,-1.38162112542893,-0.378192912078702
"time_to_fu_quantilesq2",0.0573421960498606,0.00777876724840859,0.106905624851313,-0.480797241314978,-0.688672063561218,-0.272922419068738,-0.183744378473518,-0.37997136072609,0.0124826037790545,0.486618833855212,-0.103264963240844,1.07650263095127
"time_to_fu_quantilesq3",-0.0994732251544847,-0.148332900194574,-0.050613550114395,-1.55327859305056,-1.75820178964083,-1.3483553964603,0.0264160536281686,-0.182075079595638,0.234907186851975,0.359772988630607,-0.266978439308179,0.986524416569392
"time_to_fu_quantilesq4",-0.14641931789103,-0.196118173440146,-0.0967204623419154,-5.39737869894626,-5.60582151682514,-5.18893588106738,0.351068463493921,0.146804960304117,0.555331966683724,1.96480144827409,1.35075882535563,2.57884407119255
