"Variable","s_h_h_coef","s_h_h_conf_lower","s_h_h_conf_upper","s_h_f_coef","s_h_f_conf_lower","s_h_f_conf_upper","s_hf_h_coef","s_hf_h_conf_lower","s_hf_h_conf_upper","s_hf_f_coef","s_hf_f_conf_lower","s_hf_f_conf_upper"
"(Intercept)",5.71072909693906,5.63883967210612,5.78261852177199,22.8370450262174,22.5355858232656,23.1385042291692,5.62469709296053,5.29851155024055,5.95088263568051,13.7222674009055,12.7419010278945,14.7026337739166
"agegroup25-39",0.0492850962199805,-0.0119006967611289,0.11047088920109,-0.347677536094292,-0.604252413789079,-0.0911026583995049,0.137284627988952,-0.105761241258285,0.38033049723619,-1.08132255989992,-1.8118086363898,-0.350836483410034
"agegroup40-64",0.326954792017196,0.267702076143563,0.386207507890829,-0.0172117755006996,-0.265680539042835,0.231256988041436,0.207184836582271,-0.0297537262025444,0.444123399367087,-2.13438289293656,-2.84651316543984,-1.42225262043328
"agegroup64+",0.392207969108929,0.301956449458033,0.482459488759825,-0.942521699783206,-1.32098002299799,-0.564063376568426,0.290571667879006,-0.103260941957545,0.684404277715558,-2.84790716292089,-4.0315900572005,-1.66422426864128
"sexF",0.126603067704095,0.0912165138914506,0.161989621516739,0.321939141033436,0.173550107008457,0.470328175058416,-1.14227617102219,-1.29111241183862,-0.993439930205767,0.948444562931923,0.501110066236996,1.39577905962685
"raceAsian",0.184541023815604,0.116944793297498,0.25213725433371,3.16696761267757,2.88351137663326,3.45042384872188,-0.746681785069158,-1.02015840172226,-0.473205168416058,0.130008321778479,-0.691938833009141,0.951955476566099
"raceBlack",0.180457078934502,0.140102074112604,0.2208120837564,1.38299268721619,1.21376908281267,1.55221629161971,-0.735122432547964,-0.902116314425144,-0.568128550670785,-0.863546058175103,-1.36545422040017,-0.361637895950032
"time_to_fu",-0.00231182911421535,-0.002726865994138,-0.0018967922342927,-0.0243403363187206,-0.0260807409374506,-0.0225999316999906,0.00649307523713994,0.00318128626054065,0.00980486421373923,0.0325286843074856,0.0225749428875171,0.042482425727454
"I(time_to_fu^2)",3.76676502703046e-06,2.97455637667986e-06,4.55897367738107e-06,2.34914415170055e-05,2.01694148230765e-05,2.68134682109345e-05,-1.11295403705164e-05,-1.81649218452624e-05,-4.09415889577044e-06,-5.9935787708158e-05,-8.10809658838419e-05,-3.87906095324741e-05
"I(time_to_fu^3)",-1.487302005061e-09,-1.88189299315367e-09,-1.09271101696833e-09,-6.69609951931434e-09,-8.3507668787878e-09,-5.04143215984088e-09,5.42373302116608e-09,1.43948934756925e-09,9.40797669476291e-09,2.78992608094712e-08,1.59244243807773e-08,3.98740972381651e-08
