Variable,Country,Dataset,Size
agegroup15-24,SA,Hemoglobin and ferritin,1915
agegroup15-24,SA,Hemoglobin only,36468
agegroup15-24,US,Hemoglobin and ferritin,1729
agegroup15-24,US,Hemoglobin only,4056
agegroup25-39,SA,Hemoglobin and ferritin,4681
agegroup25-39,SA,Hemoglobin only,89991
agegroup25-39,US,Hemoglobin and ferritin,1412
agegroup25-39,US,Hemoglobin only,8977
agegroup40-64,SA,Hemoglobin and ferritin,6399
agegroup40-64,SA,Hemoglobin only,132091
agegroup40-64,US,Hemoglobin and ferritin,5112
agegroup40-64,US,Hemoglobin only,31550
agegroup64+,SA,Hemoglobin and ferritin,1090
agegroup64+,SA,Hemoglobin only,24669
agegroup64+,US,Hemoglobin and ferritin,2772
agegroup64+,US,Hemoglobin only,15820
raceAsian,SA,Hemoglobin and ferritin,1120
raceAsian,SA,Hemoglobin only,19673
raceAsian,US,Hemoglobin and ferritin,217
raceAsian,US,Hemoglobin only,1267
raceBlack,SA,Hemoglobin and ferritin,4512
raceBlack,SA,Hemoglobin only,81690
raceBlack,US,Hemoglobin and ferritin,398
raceBlack,US,Hemoglobin only,1552
raceHispanic,SA,Hemoglobin and ferritin,0
raceHispanic,SA,Hemoglobin only,0
raceHispanic,US,Hemoglobin and ferritin,1540
raceHispanic,US,Hemoglobin only,7525
raceWhite,SA,Hemoglobin and ferritin,6076
raceWhite,SA,Hemoglobin only,136083
raceWhite,US,Hemoglobin and ferritin,8534
raceWhite,US,Hemoglobin only,48305
sexF,SA,Hemoglobin and ferritin,6777
sexF,SA,Hemoglobin only,112659
sexF,US,Hemoglobin and ferritin,7748
sexF,US,Hemoglobin only,44493
sexM,SA,Hemoglobin and ferritin,5787
sexM,SA,Hemoglobin only,140878
sexM,US,Hemoglobin and ferritin,3277
sexM,US,Hemoglobin only,15910
time_to_fu_quantilesq1,SA,Hemoglobin and ferritin,3394
time_to_fu_quantilesq1,SA,Hemoglobin only,67216
time_to_fu_quantilesq1,US,Hemoglobin and ferritin,2832
time_to_fu_quantilesq1,US,Hemoglobin only,15541
time_to_fu_quantilesq2,SA,Hemoglobin and ferritin,3300
time_to_fu_quantilesq2,SA,Hemoglobin only,59708
time_to_fu_quantilesq2,US,Hemoglobin and ferritin,2697
time_to_fu_quantilesq2,US,Hemoglobin only,14839
time_to_fu_quantilesq3,SA,Hemoglobin and ferritin,2750
time_to_fu_quantilesq3,SA,Hemoglobin only,63309
time_to_fu_quantilesq3,US,Hemoglobin and ferritin,2742
time_to_fu_quantilesq3,US,Hemoglobin only,14931
time_to_fu_quantilesq4,SA,Hemoglobin and ferritin,3120
time_to_fu_quantilesq4,SA,Hemoglobin only,63304
time_to_fu_quantilesq4,US,Hemoglobin and ferritin,2754
time_to_fu_quantilesq4,US,Hemoglobin only,15092
