Variable,Country,Dataset,Size
agegroup15-24,NL,Hemoglobin and ferritin,40701
agegroup15-24,NL,Hemoglobin only,80838
agegroup25-39,NL,Hemoglobin and ferritin,52965
agegroup25-39,NL,Hemoglobin only,140787
agegroup40-64,NL,Hemoglobin and ferritin,84443
agegroup40-64,NL,Hemoglobin only,268048
agegroup64+,NL,Hemoglobin and ferritin,23961
agegroup64+,NL,Hemoglobin only,82035
raceAsian,NL,Hemoglobin and ferritin,0
raceAsian,NL,Hemoglobin only,0
raceBlack,NL,Hemoglobin and ferritin,0
raceBlack,NL,Hemoglobin only,0
raceHispanic,NL,Hemoglobin and ferritin,0
raceHispanic,NL,Hemoglobin only,0
raceWhite,NL,Hemoglobin and ferritin,0
raceWhite,NL,Hemoglobin only,0
sexF,NL,Hemoglobin and ferritin,115042
sexF,NL,Hemoglobin only,273898
sexM,NL,Hemoglobin and ferritin,64381
sexM,NL,Hemoglobin only,240219
time_to_fu_quantilesq1,NL,Hemoglobin and ferritin,46268
time_to_fu_quantilesq1,NL,Hemoglobin only,131074
time_to_fu_quantilesq2,NL,Hemoglobin and ferritin,43512
time_to_fu_quantilesq2,NL,Hemoglobin only,126534
time_to_fu_quantilesq3,NL,Hemoglobin and ferritin,46015
time_to_fu_quantilesq3,NL,Hemoglobin only,128078
time_to_fu_quantilesq4,NL,Hemoglobin and ferritin,43628
time_to_fu_quantilesq4,NL,Hemoglobin only,128431
