"Variable","v_h_h_coef","v_h_h_conf_lower","v_h_h_conf_upper","v_h_f_coef","v_h_f_conf_lower","v_h_f_conf_upper","v_hf_h_coef","v_hf_h_conf_lower","v_hf_h_conf_upper","v_hf_f_coef","v_hf_f_conf_lower","v_hf_f_conf_upper"
"(Intercept)",6.48648411867506,6.33444853370245,6.63851970364768,17.6442007962428,17.1513700053577,18.1370315871278,4.42189928270909,4.24063447046126,4.60316409495692,10.0834717870393,9.49184774639527,10.6750958276833
"agegroup25-39",0.0453959000592595,-0.109855550039778,0.200647350158297,2.06965306800049,1.56639789289041,2.57290824311058,-1.33470019834284,-1.54159573113422,-1.12780466555147,0.746888736050697,0.0716094604796859,1.42216801162171
"agegroup40-64",0.701721351057644,0.564424611000226,0.839018091115063,2.25605727537642,1.81100317175573,2.70111137899711,-1.47992331194844,-1.64010964004512,-1.31973698385177,0.0660188570919588,-0.456807837782007,0.588845551965924
"agegroup64+",0.776764844718374,0.630353670652516,0.923176018784233,1.28711615344044,0.812517165826579,1.7617151410543,-1.43667442613655,-1.61412743154634,-1.25922142072675,-0.174700996317398,-0.753883810582685,0.404481817947888
"sexF",-2.15619046539347,-2.23430482150928,-2.07807610927766,-3.04826724708678,-3.30147875616188,-2.79505573801168,-0.454644886578387,-0.578085268325547,-0.331204504831227,0.681043066739029,0.27815021333709,1.08393592014097
"raceAsian",0.191726180520205,-0.0415149083289632,0.424967269369374,0.906850339562026,0.150787932822659,1.66291274630139,0.346364465081114,-0.0442729950626347,0.737001925224863,1.24511248159226,-0.0298758061576023,2.52010076934213
"raceBlack",-0.26136845508598,-0.472641845250302,-0.0500950649216579,-0.543381283373495,-1.22823431949922,0.141471752752229,-0.337508882769654,-0.62930916046502,-0.0457086050742886,-1.39497794231009,-2.34737492002657,-0.442580964593603
"raceHispanic",-0.191603539536181,-0.294734568794866,-0.0884725102774952,1.08869489770836,0.754390618065532,1.42299917735119,-0.324656994337506,-0.484922906251971,-0.16439108242304,0.294813786415349,-0.228272659368172,0.817900232198869
"time_to_fu_quantilesq2",0.469007048583861,0.374962882238067,0.563051214929655,0.0868595929076574,-0.217989175797839,0.391708361613154,0.411488153488157,0.258435506545445,0.564540800430869,-0.125065027554361,-0.624608343725997,0.374478288617275
"time_to_fu_quantilesq3",0.564072514551417,0.469792523947377,0.658352505155458,1.64139185032599,1.33577864574371,1.94700505490828,1.00469465801762,0.851267199543411,1.15812211649182,0.790358595526614,0.289591944776186,1.29112524627704
"time_to_fu_quantilesq4",0.295307621771898,0.200677949233539,0.389937294310256,2.52497752128847,2.21823080559904,2.83172423697791,1.2189602465267,1.06435320201086,1.37356729104253,2.46089043500455,1.95627377358971,2.96550709641939
