"Variable","v_h_h_coef","v_h_h_conf_lower","v_h_h_conf_upper","v_h_f_coef","v_h_f_conf_lower","v_h_f_conf_upper","v_hf_h_coef","v_hf_h_conf_lower","v_hf_h_conf_upper","v_hf_f_coef","v_hf_f_conf_lower","v_hf_f_conf_upper"
"(Intercept)",6.70807622766189,6.55245350970284,6.86369894562094,16.9492921544027,16.4454422915456,17.4531420172598,4.14352332095484,3.94974174769517,4.33730489421451,8.85663116094035,8.22431671585996,9.48894560602074
"agegroup25-39",0.0500134429971368,-0.105472434680303,0.205499320674577,2.04229650125384,1.53888967754952,2.54570332495817,-1.35954032779846,-1.56660586659342,-1.15247478900349,0.685715369603122,0.0100549904660289,1.36137574874022
"agegroup40-64",0.705413145552437,0.567932576066311,0.842893715038563,2.24437010220811,1.79925792970812,2.6894822747081,-1.49560844603409,-1.6558167577159,-1.33540013435229,0.0443457935635394,-0.478418203003873,0.567109790130952
"agegroup64+",0.788666103915646,0.642061693106977,0.935270514724315,1.26952318345741,0.794871325110887,1.74417504180393,-1.46621255155714,-1.64368641596033,-1.28873868715394,-0.20766896747046,-0.786770923341186,0.371432988400266
"sexF",-2.11649963854144,-2.1946274224886,-2.03837185459428,-3.05933054411528,-3.31227994471288,-2.80638114351768,-0.457978632126056,-0.581400168015799,-0.334557096236313,0.593024788918865,0.190297023505811,0.995752554331919
"raceAsian",0.197531437903241,-0.0360005123438922,0.431063388150374,0.880203271592409,0.124111599065908,1.63629494411891,0.373420753828959,-0.01721771417047,0.764059221828387,1.26937434904962,-0.00528939717315624,2.5440380952724
"raceBlack",-0.248800205256354,-0.460442863710364,-0.0371575468023446,-0.579637772308036,-1.26485986478449,0.105584320168416,-0.340448675289733,-0.63227449955823,-0.0486228510212366,-1.44607394949756,-2.39830940216982,-0.493838496825307
"raceHispanic",-0.195741197667272,-0.299049952872597,-0.0924324424619468,1.05912508875996,0.724648845029003,1.39360133249091,-0.333525000758791,-0.493781952233103,-0.173268049284479,0.281255873744777,-0.241666835763665,0.804178583253219
"time_to_fu",0.000634826902301823,-3.85785498693315e-06,0.00127351165959058,0.0139706891614898,0.0119028597880588,0.0160385185349208,0.00854173765965383,0.00721025048203883,0.00987322483726883,0.018868093430577,0.0145234152360352,0.0232127716251188
"I(time_to_fu^2)",-7.83249319359067e-07,-1.79034857065073e-06,2.23849931932595e-07,-1.19681368116105e-05,-1.52287585659507e-05,-8.70751505727025e-06,-8.53243542211676e-06,-1.12772901998058e-05,-5.78758064442769e-06,-1.93867769821554e-05,-2.83433113749018e-05,-1.0430242589409e-05
"I(time_to_fu^3)",2.35524699159334e-10,-1.19695604508302e-10,5.9074500282697e-10,2.84635092282303e-09,1.69627654014771e-09,3.99642530549835e-09,2.1355500065144e-09,1.2001441988188e-09,3.07095581421e-09,5.15322882505439e-09,2.10097471095737e-09,8.20548293915141e-09
