iter	RMSE
0	0.3675415197
1	0.3566615961
2	0.3451006642
3	0.335559368
4	0.3263818257
5	0.3178562387
6	0.3117896188
7	0.30556306
8	0.2982642781
9	0.2912340505
10	0.2853720965
11	0.2797269084
12	0.273668987
13	0.2688402094
14	0.2628179056
15	0.2582059312
16	0.2525859341
17	0.2475971394
18	0.2428482201
19	0.2383346767
20	0.2336233632
21	0.2292734166
22	0.2252746101
23	0.2210841397
24	0.2174207232
25	0.2137168016
26	0.2108010836
27	0.208093754
28	0.2053994365
29	0.2025090941
30	0.2002120718
31	0.1975350468
32	0.1950593879
33	0.1926449168
34	0.1909833776
35	0.1889223058
36	0.1872900414
37	0.1853820026
38	0.1839570521
39	0.1820896877
40	0.1804921863
41	0.1790167816
42	0.1778076292
43	0.1762645118
44	0.174888961
45	0.1737359492
46	0.1724044076
47	0.17124036
48	0.1702431841
49	0.1693052058
50	0.1683005218
51	0.1671861433
52	0.1661662275
53	0.1651390254
54	0.1646341691
55	0.163772082
56	0.16313079
57	0.1623238416
58	0.1615240789
59	0.1607978324
60	0.1600104489
61	0.1592908422
62	0.1585852652
63	0.1578547729
64	0.157102814
65	0.1564865082
66	0.1559205038
67	0.1553101509
68	0.1546939926
69	0.1542131853
70	0.1535580892
71	0.152978194
72	0.1523507218
73	0.1517911296
74	0.1512679508
75	0.1508766498
76	0.150299872
77	0.1498370095
78	0.149345681
79	0.1489931904
80	0.1484970665
81	0.1481296916
82	0.1475079179
83	0.1471203118
84	0.1466991995
85	0.1462299168
86	0.1458360024
87	0.1455528627
88	0.1450207595
89	0.1446043638
90	0.1441381162
91	0.1438009794
92	0.1434039566
93	0.1431545991
94	0.1428618673
95	0.1424660434
96	0.1420854373
97	0.1418746997
98	0.1416160386
99	0.1413480257
100	0.1409606678
101	0.1405013594
102	0.1402635063
103	0.1399187529
104	0.1395906789
105	0.1392329465
106	0.1388423184
107	0.1386445476
108	0.1383125943
109	0.1380006057
110	0.1378744675
111	0.1377294425
112	0.137469273
113	0.1374155515
114	0.1369465444
115	0.1366861363
116	0.1363912977
117	0.136133296
118	0.1356861713
119	0.1354100737
120	0.1351542534
121	0.1348838552
122	0.1345561557
123	0.1345075788
124	0.1344313321
125	0.1342671933
126	0.134009681
127	0.133693379
128	0.1335288722
129	0.1332765308
130	0.1329091406
131	0.1327013557
132	0.1324481624
133	0.1322222976
134	0.1319791984
135	0.1316529081
136	0.1312965577
137	0.1310548748
138	0.1310228241
139	0.1306659164
140	0.1304650367
141	0.1304315768
142	0.1303629686
143	0.130085756
144	0.1298429676
145	0.1297393201
146	0.1295979496
147	0.1292712278
148	0.1289320161
149	0.1286180072
150	0.1283237475
151	0.127949108
152	0.1278437261
153	0.1275886553
154	0.127201184
155	0.1270636128
156	0.126793622
157	0.1264217863
158	0.1260903165
159	0.1258602115
160	0.1255769148
161	0.125543091
162	0.1254910844
163	0.125393936
164	0.1251073532
165	0.1247525589
166	0.1244136187
167	0.1241381866
168	0.123936325
169	0.1236384907
170	0.1233452643
171	0.123030417
172	0.12292372
173	0.1226817646
174	0.1223949643
175	0.1223708678
176	0.122031856
177	0.1219622589
178	0.1216751822
179	0.1215466351
180	0.1214051048
181	0.1212813289
182	0.121166368
183	0.1208950809
184	0.1207676733
185	0.1204103902
186	0.1202960344
187	0.120128937
188	0.1200956945
189	0.119800726
190	0.1196660881
191	0.119334692
192	0.1191041189
193	0.1190575865
194	0.1187919494
195	0.1187447585
196	0.1187084417
197	0.1186795644
198	0.1186367165
199	0.118615209
