iter	Passed	Remaining
0	0	179
1	1	173
2	2	171
3	3	170
4	4	164
5	5	164
6	5	162
7	6	164
8	7	159
9	8	157
10	9	156
11	9	152
12	10	152
13	11	151
14	12	149
15	12	146
16	13	146
17	14	146
18	15	144
19	15	143
20	16	141
21	17	139
22	18	139
23	18	137
24	19	136
25	20	135
26	20	133
27	21	132
28	22	132
29	23	130
30	23	130
31	24	128
32	25	128
33	26	127
34	26	125
35	27	124
36	27	122
37	28	122
38	29	121
39	30	121
40	31	120
41	31	120
42	32	119
43	33	118
44	34	117
45	34	116
46	35	115
47	36	115
48	37	114
49	37	113
50	38	112
51	39	111
52	40	111
53	40	110
54	41	109
55	42	109
56	43	108
57	43	107
58	44	106
59	44	104
60	45	104
61	46	103
62	47	102
63	47	101
64	48	100
65	49	99
66	49	99
67	50	98
68	51	97
69	52	96
70	52	95
71	53	95
72	54	94
73	54	93
74	55	92
75	56	91
76	57	91
77	57	90
78	58	89
79	59	88
80	59	87
81	60	87
82	61	86
83	61	85
84	62	84
85	63	83
86	64	83
87	64	82
88	65	81
89	66	81
90	67	80
91	67	79
92	68	78
93	69	78
94	69	77
95	70	76
96	71	75
97	72	75
98	72	74
99	73	73
100	74	72
101	74	71
102	75	70
103	75	70
104	76	69
105	77	68
106	78	67
107	78	67
108	79	66
109	80	65
110	80	64
111	81	63
112	82	63
113	83	62
114	83	62
115	84	61
116	85	60
117	85	59
118	86	59
119	87	58
120	87	57
121	88	56
122	89	55
123	90	55
124	90	54
125	91	53
126	92	53
127	92	52
128	93	51
129	94	50
130	95	50
131	95	49
132	96	48
133	97	48
134	98	47
135	98	46
136	99	45
137	100	45
138	101	44
139	102	43
140	102	42
141	103	42
142	103	41
143	104	40
144	105	39
145	106	39
146	106	38
147	107	37
148	108	37
149	108	36
150	109	35
151	110	34
152	111	34
153	111	33
154	112	32
155	113	31
156	113	31
157	114	30
158	115	29
159	116	29
160	116	28
161	117	27
162	118	26
163	118	26
164	119	25
165	120	24
166	121	23
167	121	23
168	122	22
169	123	21
170	124	21
171	124	20
172	125	19
173	126	18
174	126	18
175	127	17
176	128	16
177	129	15
178	129	15
179	130	14
180	131	13
181	131	13
182	132	12
183	133	11
184	134	10
185	134	10
186	135	9
187	136	8
188	137	7
189	137	7
190	138	6
191	138	5
192	139	5
193	140	4
194	141	3
195	141	2
196	142	2
197	143	1
198	143	0
199	144	0
